"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",35.1833983263656,0.383360281513524,0.308739271079126,1.24169588200937,0.214348789906358,0.439483350212124
"A1BG-AS1",41.0847244727512,-0.00258923608277063,0.326867632215031,-0.00792135968075081,0.993679735507494,0.996777666638012
"A1CF",13.4264258870643,-1.01506715453312,0.795742912363492,-1.27562198640036,0.202089178121505,0.425163375136675
"A2M",6947.65292194257,-1.24219362881095,0.378600309160853,-3.28101588602558,0.00103433918345498,0.0143184052660659
"A2M-AS1",139.551656520997,-0.62422651568072,0.379254150623862,-1.64593192890278,0.0997777744518553,0.283146187804389
"A2ML1",303.610674078091,-5.04875577904843,0.669382781625334,-7.54240461158786,4.61383588760485e-14,4.82215057793021e-11
"A2MP1",7.47800320739711,-1.52749399331605,0.665170978075469,-2.29639302324273,0.0216534195281427,0.113076906688202
"A3GALT2",1.37220590187357,-2.32052139457864,0.842109795212456,-2.75560432591002,0.00585838184301366,0.0480160539866278
"A4GALT",74.3807049978908,0.427813091652243,0.290875829539915,1.47077566509711,0.141351795599597,0.347037418771245
"A4GNT",2.07407037750351,-1.00549483433376,0.719221520257309,-1.39803218620882,0.162103402079623,0.375742671731022
"AA06",0.242311938470691,-0.479082575196056,0.703656101124816,-0.680847610686851,0.495967920546633,NA
"AAAS",162.05750026594,0.436332559328286,0.192096959160406,2.27141835683061,0.0231216641953398,0.117903311490746
"AACS",238.160453904812,0.32047989186202,0.309753273005752,1.0346295577515,0.300841944727478,0.531662087473663
"AACSP1",5.81436194820582,-0.962111430029272,0.7888485662986,-1.21964020869512,0.222601296791778,0.448788089008347
"AADAC",22.2911312653545,0.295290768708198,0.89348803126817,0.330492136855014,NA,NA
"AADACL2",4.34624838871536,1.45080239378666,0.794138078172049,1.82688934539712,0.0677164085538906,0.226154204310091
"AADACL2-AS1",4.67794791450781,0.753238866185874,0.769405549283357,0.978988086175696,0.327585866193818,0.557711684666212
"AADACL3",4.44277848491848,-0.957160959685932,0.768308739538364,-1.24580251457381,0.212836906197261,0.437744548175689
"AADACL4",2.62007686667989,-1.0740200306753,0.762622794753114,-1.40832406015742,0.159035134341439,0.372027940771015
"AADACP1",1.02730924121248,0.229001627099349,0.896994880220067,0.255298700303804,0.798492403700873,NA
"AADAT",34.3355603548717,-0.491202001326888,0.439104688368273,-1.11864440152577,0.263291873082339,0.493275466405225
"AAED1",89.0765115024806,-0.225498141869219,0.308731997966475,-0.730400941122096,0.465145143276875,0.673800184344007
"AAGAB",502.451232497002,0.849822488894098,0.265097755457391,3.20569477258622,0.00134736825871766,0.0172257117504436
"AAK1",802.089961493223,0.0403175661537196,0.265054396468912,0.152110535387586,0.879099754865403,0.941637408213431
"AAMDC",53.4688586682039,0.453819905700743,0.41256310597119,1.10000118559422,0.271331605324539,0.501394986807277
"AAMP",533.866706685352,0.426279643168384,0.27553043783801,1.54712360098307,0.121833443900216,0.318255995731843
