"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",35.1833983263656,0.616088439036729,0.339371713106141,1.8153794651826,0.0694656145854756,0.189204041741205
"A1BG-AS1",41.0847244727512,0.876911936492545,0.354932375427564,2.47064510651131,0.0134869589744901,0.0637787422834881
"A1CF",13.4264258870643,-0.779283832692487,0.808720083027,-0.963601435215589,0.33524578700526,0.529847440000728
"A2M",6947.65292194257,0.732841579519013,0.395232714027422,1.854202735526,0.0637101608874042,0.179068046558051
"A2M-AS1",139.551656520997,-0.190030453563281,0.395265532787216,-0.480766567788699,0.630682413786846,0.777586020211738
"A2ML1",303.610674078091,2.4572283445586,0.686442098649405,3.57965857483576,0.000344043423400086,0.00492702287243767
"A2MP1",7.47800320739711,-0.485565200134251,0.66303787065262,-0.732334036450007,0.463964709606574,0.650158295740692
"A3GALT2",1.37220590187357,3.02115101439061,0.883820734906223,3.41828483432352,0.000630171212456163,0.00756392095693143
"A4GALT",74.3807049978908,0.436161450299199,0.311648173657669,1.39953154603852,0.161653645321889,0.330927376854085
"A4GNT",2.07407037750351,1.56586311438476,0.78125094842705,2.00430235321625,0.0450376819547251,0.142311259711182
"AA06",0.242311938470691,0.611649454519223,0.67100848717163,0.911537582925946,0.362012192670573,NA
"AAAS",162.05750026594,0.33597619263093,0.206175484410898,1.62956422093979,0.103193631452812,0.246304849851589
"AACS",238.160453904812,-0.195829692317188,0.32468065091444,-0.603145557844756,0.546411861442312,0.717130047898951
"AACSP1",5.81436194820582,0.868241569665378,0.810433514115868,1.07132979392218,0.284021167862184,0.474999836952638
"AADAC",22.2911312653545,-2.40303407123085,0.89923406001311,-2.67231211326206,NA,NA
"AADACL2",4.34624838871536,-1.15869659166442,0.816561560118616,-1.41899478037651,0.155900537807648,0.323494328085612
"AADACL2-AS1",4.67794791450781,-0.44257491910805,0.794697671516913,-0.556909797235553,0.577589060458489,0.740588253934383
"AADACL3",4.44277848491848,3.40355459586702,0.851622274729108,3.9965542199441,6.42711662501855e-05,0.0014972215374774
"AADACL4",2.62007686667989,3.1434015227596,0.856768942245862,3.66890227663919,0.000243594163347172,0.00389630579725656
"AADACP1",1.02730924121248,-0.751131220381543,0.90256372946348,-0.832219593876264,0.405285006052239,0.599065361347424
"AADAT",34.3355603548717,0.401349018871776,0.46059936373899,0.871362512561373,0.383556247642428,0.577911429555146
"AAED1",89.0765115024806,0.552004728310331,0.32657633474884,1.69027779901707,0.0909748203896019,0.226696110855367
"AAGAB",502.451232497002,-0.865283098287956,0.27764889661629,-3.11646510695044,0.00183033339798622,0.0162223637981074
"AAK1",802.089961493223,-0.803761961547833,0.277200418296798,-2.89956980038625,0.00373675135100604,0.0264401350266044
"AAMDC",53.4688586682039,0.718723546500573,0.438884589592245,1.63761399589883,0.101502241580528,0.243573207925887
"AAMP",533.866706685352,0.500884015931347,0.289484944147162,1.73025929692813,0.0835839582672984,0.214167707796308
"AANAT",2.20350238737151,0.481104543190833,0.79546451355743,0.604809560943536,0.545305540180647,0.716298926269333
"AAR2",270.250694333936,-0.33771785823298,0.214865724854921,-1.5717623574491,0.116005674438988,0.266227129353522
"AARD",385.801898289377,3.71624523974374,0.796334987547489,4.6666858769936,3.06096740393407e-06,0.000152294847714502
"AARS",2006.76461138027,0.729667408865718,0.36065527986776,2.02317129291234,0.0430554902776605,0.138495871785371
"AARS2",196.481798605493,0.22434063459473,0.311460539861788,0.720285897835669,0.471348985658875,0.65494740414885
"AARSD1",0.306329850995628,0.0144672521399871,0.837971476595587,0.0172646116771933,0.98622551718395,NA
"AASDH",214.372717631835,-0.871676966822187,0.31476769103744,-2.76927077219785,0.00561819225161238,0.0349664855701798
"AASDHPPT",413.746804899811,-0.218296165668116,0.275396653773252,-0.792660922626352,0.427975403439479,0.619699435058071
"AASS",101.143964071245,-0.246054714234354,0.377568596037006,-0.651682149460965,0.514606240375166,0.691739458805455
"AATF",234.975925645658,-0.770492403742774,0.373412474114516,-2.06338153424003,0.0390763929727895,0.129473685425378
"AATK",27.3775384880483,0.854352576754861,0.596241674010049,1.4328964478596,0.151887432564782,0.318072953701263
"AATK-AS1",1.0407228356087,1.40392227244356,0.893843349006863,1.57065807336759,0.116262092833879,0.266652621885883
"ABAT",289.161518705194,-0.311097056223062,0.617440305347924,-0.50384960866421,0.614367063713554,0.766667717055433
"ABCA1",1688.42733228081,-0.744834507669749,0.308627348528196,-2.41337817669681,0.0158054105794414,0.071107086015795
"ABCA10",76.3545377227346,-2.06492388095243,0.65839146578818,-3.13631629243622,0.00171084583223377,0.0154876211189819
"ABCA11P",53.9670461314088,-0.322706574038183,0.427372439711737,-0.755094489143589,0.450192289521724,0.639515759078549
"ABCA12",223.194608510232,-1.95974621668413,0.827642479498719,-2.3678656729547,0.0178910302545509,0.0771212980943648
"ABCA13",201.903236557991,-1.40755700581898,0.874038676649975,-1.61040585894194,NA,NA
"ABCA17P",12.7264334104511,1.66570140941819,0.49538144624812,3.36246224406211,0.000772506893658145,0.00876860992001573
"ABCA2",342.032777371183,-0.581054056747657,0.462270166481363,-1.25695772489589,0.208768944095594,0.388107417673153
"ABCA3",315.021504922453,-0.292316851819821,0.395860676831273,-0.738433668531353,0.4602509613251,0.648019667461447
"ABCA4",52.113989192412,1.78827838364512,0.63398483599428,2.82069583074579,0.00479196153402799,0.0313887961591254
"ABCA5",297.202531270652,-0.700771615247165,0.362488655874468,-1.93322357511195,0.0532086617667696,0.15895414109018
"ABCA6",188.138126770464,-1.57841664653796,0.586891078118235,-2.68945415152481,0.00715689775707952,0.0410980102017332
"ABCA7",92.2314043218135,-0.471881128142061,0.334852264834606,-1.40922185004524,0.158769578770929,0.327057268512979
"ABCA8",169.611600419741,-2.92640117864134,0.673692725217848,-4.34382184800207,1.40025082950151e-05,0.000490983019590434
"ABCA9",115.993036770046,-1.66657439288386,0.675975763534818,-2.46543512768712,0.0136846953023927,0.0645257389253157
"ABCB1",71.8967628918234,-1.0826961208941,0.568368256449404,-1.90492010876486,0.0567904568923354,0.166029302020288
"ABCB10",366.613979209997,-0.140168499544562,0.294238655440055,-0.47637690341852,0.633805886232232,0.779785471176987
"ABCB11",5.88519557568873,1.62324596243377,0.819445427864208,1.98090794973934,0.0476015974093751,0.147688691902993
"ABCB4",29.6741686600046,-0.248407812073903,0.605027173094887,-0.410572984355771,0.681385676626231,0.815014633377829
"ABCB5",17.6040583393967,0.545376502002013,0.712430990056972,0.765514849316703,0.443965027554167,0.633977833433157
"ABCB6",111.875218649429,0.358009780259179,0.476438641508984,0.751428933482988,0.452394555320405,0.641440635182743
"ABCB7",252.400380405325,-0.500071448403657,0.179547132557773,-2.78518203704952,0.00534976798158114,0.0338183356987622
"ABCB8",208.249394139732,-0.0762842560510015,0.417056170534852,-0.182911227408939,0.854867673319725,0.923764663595362
"ABCB9",69.687869442461,-0.684600872126795,0.389034991098925,-1.75974112301048,0.0784517098737983,0.205001574593141
"ABCC1",536.308991960962,-0.0937412756134514,0.346968252102772,-0.270172487094541,0.787027558004869,0.882046795062965
"ABCC10",180.589431089053,-0.133130261590734,0.26709329380929,-0.498441049163113,0.618173210006919,0.769388356561299
"ABCC11",396.087822708317,-2.49251831619588,0.858746827083617,-2.90250658003674,0.00370189382999461,0.0262917806631231
"ABCC12",45.1447878542922,-1.90532133714866,0.85043918338794,-2.2403969318045,NA,NA
"ABCC13",6.50541797381431,2.12294836390804,0.83792031314179,2.53359219320991,0.0112900037131748,0.0560881609472224
"ABCC2",59.3565945749092,-0.217405113366483,0.694594370912341,-0.312995789299191,0.754283861199888,0.860519190362865
"ABCC3",266.200584898642,-1.54222299008194,0.540121396354073,-2.85532659970935,0.00429925924273898,0.02916639043618
"ABCC4",350.725673945035,-1.22585473200392,0.47633220526936,-2.57352897503689,0.0100667217359601,0.0519412655131445
"ABCC5",829.607281183901,-0.605432736840204,0.383190927860105,-1.57997669783361,0.114112202993563,0.263236894839812
"ABCC5-AS1",2.80379582980388,-0.598079016847109,0.717982867310659,-0.832999008858425,0.404845288264059,0.598672967013617
"ABCC6",56.024951755246,-0.223411842225909,0.735052346058055,-0.30394004375882,0.76117356952046,0.865378680774763
"ABCC6P1",4.96774884454978,-0.709752159824227,0.86880842416903,-0.816925964435794,0.413970738744955,0.606653164017947
"ABCC6P2",1.21020741156065,0.125408075104882,0.907201713202277,0.138236153305103,0.890053783163775,0.943440910295788
"ABCC8",28.1992506346054,1.54898718837846,0.735763809780788,2.10527776412373,0.0352671365179235,0.120890804668215
"ABCC9",299.842531861201,-0.0883772031805291,0.325780483913102,-0.271278383895158,0.786176930482695,0.881638322973159
"ABCD1",153.317502007059,0.142232906581747,0.337152186650328,0.421865591307172,0.673123126547439,0.808751881785441
"ABCD2",33.5613745536578,-1.05202855216943,0.592232480253436,-1.77637766797124,0.0756706894171087,0.200198994610459
"ABCD3",1116.19983920018,-0.196267986462441,0.299835083553677,-0.6545864617851,0.512734042872512,0.690199034893816
"ABCD4",60.6670804128992,-0.273629971349761,0.361275209666834,-0.757400353049689,0.448810044680099,0.638110957422165
"ABCE1",1188.17803343214,-0.49036823473376,0.308140181320921,-1.59138036666193,0.111524000078347,0.259029002329431
"ABCF2",452.171497638004,-0.10256631849884,0.366185379816423,-0.28009397467004,0.779405407287604,0.877540631154953
"ABCF3",521.992626384305,0.567591137523564,0.333114668802885,1.70389115424823,0.0884014239000093,0.222453084538102
"ABCG1",343.258847784523,-0.886107660741599,0.282217093347076,-3.13980861411483,0.00169058241416989,0.0153715957529685
"ABCG2",42.6304623028887,-0.235735282389148,0.434515352176595,-0.542524633958943,0.587457142075902,0.747753534407641
"ABCG4",12.0594143367034,3.80172393403525,0.71885936809607,5.28855031006174,1.23289580480031e-07,1.23906028382432e-05
"ABCG5",3.41662436897983,1.79607423372718,0.814220523628298,2.2058817993479,0.027392276907258,0.1023795927916
"ABCG8",6.73211082265009,3.36303341851744,0.780526560618996,4.30867261691951,1.64237267073916e-05,0.000551822640096134
"ABHD1",25.5402829173324,0.837178719275687,0.377068259902392,2.2202312109017,0.0264030766930594,0.100249595608402
"ABHD10",298.718185891797,-0.10855150154648,0.26186674109244,-0.414529546950605,0.678486332785979,0.812573692410648
"ABHD11",189.628022999258,-0.982495252663322,0.434171575322041,-2.26291933536775,0.0236406622490944,0.0930267431849759
"ABHD12",195.454043806171,-0.50285247731472,0.281496867102174,-1.78635194945953,0.074042290465082,0.197251710370355
"ABHD12B",24.0950148437656,0.926546569742196,0.808751607704795,1.14565035904126,0.251939851356531,0.440279283208501
"ABHD13",305.42064770599,-0.177716806756592,0.273866195791551,-0.648918375058814,0.516391137054169,0.693109082609109
"ABHD14A",19.8897790025636,-0.290727689344975,0.499214337862718,-0.582370471548684,0.560317166764636,0.727225041037089
"ABHD14B",292.520943724509,-0.176752578981698,0.349571456702826,-0.505626462322857,0.613118901176086,0.765705270381376
"ABHD15",157.578729782099,-0.360531212574479,0.293089648920591,-1.23010557998983,0.218657570791435,0.39973997145733
"ABHD16B",32.4354249571431,-0.0828996958441536,0.427382235510987,-0.193970850812358,0.846198706083588,0.919290710156055
"ABHD17A",138.217011070232,-0.0430499412865108,0.295053299334325,-0.145905642755518,0.88399587698941,0.939659827788327
